jid,phase,experiment_id,formulation,temperature_c,target_log_sigma,ionic_conductivity_s_cm,component_count,node_count,edge_count,salt_nodes,solvent_nodes
liquid_0032,liquid,PYA_25082021_BM169_6,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,30.0,-5.62819823739717,0.0037867985476546,4,4,12,1,3
liquid_0033,liquid,PYA_25082021_BM169_6,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,40.0,-5.492096274068304,0.0040636725658801,4,4,12,1,3
liquid_0034,liquid,PYA_25082021_BM169_6,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,50.0,-5.3644177650689375,0.0045752646780965,4,4,12,1,3
liquid_0035,liquid,PYA_25082021_BM169_6,PC:1.509g | EC:1.506g | EMC:7.2024g | LiPF6:0.3006g,60.0,-5.244404182318969,0.0050615673853922,4,4,12,1,3
liquid_0036,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-30.0,-6.28381680217727,0.00174738653787,3,3,6,1,2
liquid_0037,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-20.0,-6.018630756940258,0.002458383858293,3,3,6,1,2
liquid_0038,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-10.0,-5.773599455783581,0.0031773642843836,3,3,6,1,2
liquid_0039,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,0.0,-5.546509307924116,0.0039443043359942,3,3,6,1,2
liquid_0040,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,10.0,-5.335459431854124,0.0050033550718062,3,3,6,1,2
liquid_0041,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,20.0,-5.138808319288822,0.0060810081624649,3,3,6,1,2
liquid_0042,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,30.0,-4.95513105548257,0.0071534131791708,3,3,6,1,2
liquid_0043,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,40.0,-4.783184736195318,0.008261436496666,3,3,6,1,2
liquid_0044,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,50.0,-4.621880305770036,0.0100146966264525,3,3,6,1,2
liquid_0045,liquid,PYA_30032021_BM048_1,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,60.0,-4.470259467145761,0.0106525802623583,3,3,6,1,2
liquid_0046,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-30.0,-6.239614845554763,0.0018346685815591,3,3,6,1,2
liquid_0047,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-20.0,-5.977395159855315,0.0025266577354261,3,3,6,1,2
liquid_0048,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-10.0,-5.735104768147846,0.0033437423738395,3,3,6,1,2
liquid_0049,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,0.0,-5.510554840779199,0.0041907780559974,3,3,6,1,2
liquid_0050,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,10.0,-5.301865759419286,0.0052790460170282,3,3,6,1,2
liquid_0051,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,20.0,-5.107414377623413,0.0059848845326685,3,3,6,1,2
liquid_0052,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,30.0,-4.925791719680146,0.0068221806962431,3,3,6,1,2
liquid_0053,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,40.0,-4.755768784422061,0.0089815599786084,3,3,6,1,2
liquid_0054,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,50.0,-4.596268698321217,0.0105665346960588,3,3,6,1,2
