phase,formula,temperature_c,ionic_conductivity_s_cm,log10_ionic_conductivity,family,chemical_family,source_doi
solid,Li0.8La0.066Zr2(PO4)3,225.81,3.17E-03,-2.498940738,NASICON,#N/A,10.1007/s11581-009-0332-6
solid,Li0.8Zr1.8Nb0.2(PO4)3,200,7.40E-05,-4.13076828,NASICON,#N/A,10.1016/0025-5408(77)90161-1
solid,Li0.8Zr1.8Ta0.2(PO4)3,200,7.40E-05,-4.13076828,NASICON,#N/A,10.1016/0025-5408(77)90161-1
solid,Li0.95Zr1.95Ta0.05(PO4)3,300,7.30E-04,-3.13667714,NASICON,#N/A,10.1016/0025-5408(77)90161-1
solid,Li0.9Zr1.9Ta0.1(PO4)3,300,9.50E-04,-3.022276395,NASICON,#N/A,10.1016/0025-5408(77)90161-1
solid,Li1.076Al0.6923Ti1.462(PO4)3,58,3.74E-03,-2.427128398,NASICON,#N/A,10.1016/S0167-2738(97)00018-0
solid,Li1.2Ga0.2Ti1.8(PO4)3,250,6.60E-07,-6.180456064,NASICON,#N/A,10.1021/cm030422i
solid,Li1.35In0.35Ti1.65(PO4)3,300,2.10E-02,-1.677780705,NASICON,#N/A,10.1016/0167-2738(86)90183-9
solid,Li1.3Al0.23Sc0.07Ti1.7(PO4)3,140,7.00E-05,-4.15490196,NASICON,#N/A,10.1016/j.physb.2016.04.027
solid,Li1.3Al0.25Sc0.05Ti1.7(PO4)3,140,1.08E-04,-3.966576245,NASICON,#N/A,10.1016/j.physb.2016.04.027
solid,Li1.3Al0.27Sc0.03Ti1.7(PO4)3,140,8.47E-05,-4.07211659,NASICON,#N/A,10.1016/j.physb.2016.04.027
solid,Li1.3Al0.29Sc0.01Ti1.7(PO4)3,140,1.19E-04,-3.924453039,NASICON,#N/A,10.1016/j.physb.2016.04.027
solid,Li1.3Al0.3Ge1.4Ti0.3(PO4)3,227,1.10E-03,-2.958607315,NASICON,#N/A,10.1016/j.electacta.2005.12.055
solid,Li1.3Al0.3Ti1.7(PO4)3,58.17,2.40E-04,-3.619788758,NASICON,#N/A,10.1007/s11581-007-0197-5
solid,Li1.3Fe0.3Ti1.7(PO4)3,300,8.58E-03,-2.066512712,NASICON,#N/A,10.1007/s10008-002-0314-3
solid,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,143,4.12E-03,-2.385102784,NASICON,#N/A,10.1016/j.ssi.2004.05.009
solid,Li1.4Al0.4Ti1.6(PO4)3,203,1.04E-02,-1.982966661,NASICON,#N/A,10.1016/j.ssi.2006.04.010
solid,Li1.7Cr0.7Hf1.3(PO4)3,300,5.28E-04,-3.277366077,NASICON,#N/A,10.1016/S0167-2738(98)00207-0
solid,Li1.7Fe0.7Hf1.3(PO4)3,171,2.68E-05,-4.571865206,NASICON,#N/A,10.1016/S0167-2738(98)00207-0
solid,Li1.8Cr0.8Ti1.2(PO4)3,300,4.80E-03,-2.318758763,NASICON,#N/A,10.1016/0167-2738(88)90291-3
solid,Li2.3Cr1.3Hf0.7(PO4)3,300,1.81E-04,-3.742321425,NASICON,#N/A,10.1006/jssc.2000.8658
solid,Li2.5Cr1.5Hf0.5(PO4)3,300,3.55E-04,-3.449771647,NASICON,#N/A,10.1016/S0167-2738(98)00207-0
solid,Li2.7Cr1.7Hf0.3(PO4)3,171,2.25E-05,-4.647817482,NASICON,#N/A,10.1016/S0167-2738(98)00207-0
solid,Li2.8In1.8Ti0.2(PO4)3,300,8.24E-03,-2.084072788,NASICON,#N/A,10.1016/0167-2738(86)90183-9
solid,Li2.9Sc1.9Zr0.1(PO4)3,150,1.06E-03,-2.974694135,NASICON,#N/A,10.1016/S0925-8388(96)02746-6
solid,Li2AlZr(PO4)3,300,3.40E-06,-5.468521083,NASICON,#N/A,10.1007/s10008-008-0520-8
solid,Li2CrHf(PO4)3,300,3.35E-04,-3.474955193,NASICON,#N/A,10.1016/S0167-2738(96)00565-6
solid,Li3Cr2(PO4)3,50,2.50E-08,-7.602059991,NASICON,#N/A,10.1016/0167-2738(83)90101-7
solid,Li3Fe2(PO4)3,50,5.60E-08,-7.251811973,NASICON,#N/A,10.1016/0167-2738(83)90101-7
solid,Li3Sc2(PO4)3,150,3.49E-06,-5.457174573,NASICON,#N/A,10.1016/S0925-8388(96)02746-6
solid,LiCrTa(PO4)3,61,3.16E-07,-6.500312917,NASICON,#N/A,10.1039/A807007E
solid,LiFeTa(PO4)3,350,3.35E-04,-3.474955193,NASICON,#N/A,10.1039/A807007E
solid,LiTi1.75Zr0.25(PO4)3,154,7.35E-05,-4.133712661,NASICON,#N/A,10.1016/0167-2738(90)90188-W
solid,"""(Li2S)0.75 (P2S5)0.25""",44.2,3.00E-04,-3.522878745,Other,#N/A,10.1021/acsomega.8b00377
solid,Li4SiO4,228.21,8.36E-06,-5.077793723,Other,#N/A,10.1021/acsami.6b14402
solid,La0.55Li0.361Ti0.995Al0.005O3,100,1.00E-02,-2,Perovskite,#N/A,10.1007/BF02375549
solid,La0.55Li0.36Ti0.992Al0.008O3,100,5.85E-03,-2.232844134,Perovskite,#N/A,10.1007/BF02375549
solid,La0.56Li0.36Ti0.95Al0.05O3,119,6.30E-03,-2.200659451,Perovskite,#N/A,10.1007/BF02375549
solid,Li0.022 La0.117 Ti0.208 Al0.001 O0.626,112,1.63E-02,-1.787812396,Perovskite,#N/A,10.1007/BF02378009
solid,Li0.1Na0.1La0.6TiO3,223,4.16E-03,-2.380906669,Perovskite,#N/A,10.1016/j.ssi.2008.03.015
solid,Li0.228La0.59TiO3,214,1.06E-04,-3.974694135,Perovskite,#N/A,10.1007/s10717-007-0032-5
solid,Li0.24La0.59TiO3,89,2.27E-04,-3.643974143,Perovskite,#N/A,10.1007/s10717-007-0032-5
solid,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,200,9.50E-03,-2.022276395,Perovskite,#N/A,10.1007/s11581-006-0011-9
solid,Li0.5La0.5TiO3,131,1.25E-04,-3.903089987,Perovskite,#N/A,10.1016/j.jallcom.2009.07.091
solid,Li0.5La0.5TiO3,90,3.10E-04,-3.508638306,Perovskite,#N/A,10.1016/j.ssi.2008.08.013
solid,Li0.5La0.5TiO3,134,3.76E-03,-2.424812155,Perovskite,#N/A,10.1016/j.ssi.2009.08.002
solid,LiCa1.65Ti1.3Nb1.7O9,215,8.56E-07,-6.067526235,Perovskite,#N/A,10.1007/BF02708781
solid,LiCa1.65Ti1.3Ta1.7O9,300,1.00E-05,-5,Perovskite,#N/A,10.1007/BF02708781
